condition,n_examples,mean_team_score,mean_team_utility,pass_rate,mean_r,mean_b,mean_u,selection_match_rate_to_u_oracle,score_gap_estimate,score_gap_lower,score_gap_upper,utility_gap_estimate,utility_gap_lower,utility_gap_upper
none,20,0.29440179171555786,0.0,0.0,,,,0.0,-0.2701821903684242,-0.37516067797437663,-0.1737502042501367,-0.2701821903684242,-0.3753098474823827,-0.1693314814040166
R,20,0.4325058552558553,0.1381040635402974,0.2,0.8069666764999999,0.9199999999999999,0.1381040635402974,0.45,-0.13207812682812684,-0.22601339651339653,-0.05764285714285714,-0.13207812682812684,-0.22250669825669825,-0.05798958698958699
B,20,0.3037906873687325,0.009388895653174629,0.0,0.5972932825,1.0,0.008939557295384796,0.2,-0.2607932947152496,-0.3720703989978867,-0.15320775138497106,-0.2607932947152496,-0.3710517610812635,-0.15896801630663834
R+B,20,0.3782389309003233,0.08383713918476543,0.1,0.79538348,0.9949999999999999,0.08343970328732953,0.3,-0.1863450511836588,-0.28539390848251606,-0.09699707138567899,-0.1863450511836588,-0.2910030303030303,-0.09177439705161225
U_oracle,20,0.5645839820839821,0.2701821903684242,0.3,0.6974936055,0.9199999999999999,0.27091739099484036,1.0,0.0,0.0,0.0,0.0,0.0,0.0
random,20,0.33177277869870025,0.03737098698314234,0.05,0.72180875,0.975,0.03760701268261869,0.2,-0.23281120338528188,-0.34042123270054875,-0.14192074674668803,-0.23281120338528188,-0.32791640511516984,-0.14051839826839826
