agent_name,task_family,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,factual_memory_qa,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,879.0,478.5,1357.5,0.0,27.47477161884308
cmi,inferential_memory_qa,0.8075793650793651,0.8781746031746032,0.7857142857142857,0.8214285714285714,0.8571428571428571,0.8333333333333333,0.9857142857142858,0.9821428571428571,1.0,0.0,1.0,3.0,0.9285714285714286,1037.2142857142858,570.4285714285714,1607.642857142857,0.0,33.25551223754883
cmi,multi_evidence_memory_qa,0.7536044444444444,0.8382920634920634,0.68,0.8,0.82,0.8,0.9840000000000001,0.98,1.0,0.0,1.0,3.0,0.92,1070.88,603.88,1674.76,0.0,27.816195554733277
cmi,temporal_memory_qa,0.9014565217391304,0.9523913043478262,0.8913043478260869,0.9239130434782609,0.9239130434782609,0.9239130434782609,0.9945652173913043,0.9945652173913043,1.0,0.0,1.0,3.0,0.9565217391304348,1079.5217391304348,502.82608695652175,1582.3478260869565,0.0,28.909767347833384
full_history,factual_memory_qa,0.6104166666666666,0.6791666666666667,0.5,0.2,1.0,0.33333333333333337,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1210.5,564.0,1774.5,0.0,1.3599644899368286
full_history,inferential_memory_qa,0.43247230993458113,0.5565930958249118,0.2857142857142857,0.17857142857142858,1.0,0.30272108843537415,0.0,0.0,1.0,0.6428571428571429,1.0,5.642857142857143,5.642857142857143,3647.8571428571427,671.5714285714286,4319.428571428572,0.0,2.6708521332059587
full_history,multi_evidence_memory_qa,0.49091417840735935,0.673877397724799,0.12,0.184,1.0,0.30952380952380953,0.0,0.0,1.0,0.64,1.0,5.68,5.68,8012.88,716.16,8729.04,0.0,2.8152372646331787
full_history,temporal_memory_qa,0.5484627133142185,0.7443877270948462,0.2391304347826087,0.1818840579710145,1.0,0.30693581780538304,0.0,0.0,1.0,0.6304347826086957,1.0,5.6521739130434785,5.6521739130434785,2406.695652173913,616.1739130434783,3022.8695652173915,0.0,1.874922793844472
graph_memory,factual_memory_qa,0.6599999999999999,0.75,0.5,0.16666666666666666,0.5,0.25,0.375,0.375,1.0,0.0,1.0,3.0,3.0,463.0,451.5,914.5,0.0,1.3367986679077148
graph_memory,inferential_memory_qa,0.730734126984127,0.7990079365079366,0.6428571428571429,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.5357142857142857,0.5892857142857143,1.0,0.5,1.0,3.0,3.0,511.2142857142857,450.5,961.7142857142857,0.0,1.6024940184184484
graph_memory,multi_evidence_memory_qa,0.7253822222222222,0.8134031746031747,0.6,0.29333333333333333,0.88,0.44,0.5379999999999999,0.63,1.0,0.64,1.0,3.0,3.0,549.12,429.68,978.8,0.0,1.6260668659210205
graph_memory,temporal_memory_qa,0.9138140096618358,0.9523429951690822,0.8913043478260869,0.34057971014492755,1.0,0.5065217391304347,0.5684782608695652,0.657608695652174,1.0,0.6086956521739131,1.0,3.0,3.0,541.5652173913044,400.39130434782606,941.9565217391304,0.0,1.7227539912514065
no_memory,factual_memory_qa,0.35,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,373.0,236.0,609.0,0.0,4.087503552436829
no_memory,inferential_memory_qa,0.4448207282913165,0.6048459383753501,0.07142857142857142,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,413.2142857142857,384.07142857142856,797.2857142857143,0.0,3.1708774055753435
no_memory,multi_evidence_memory_qa,0.44205777777777777,0.6280825396825397,0.04,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,435.36,384.56,819.92,0.0,3.3591316413879393
no_memory,temporal_memory_qa,0.4210990338164251,0.6015700483091787,0.021739130434782608,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,419.0217391304348,330.54347826086956,749.5652173913044,0.0,3.4367073359696763
reflection_memory,factual_memory_qa,0.6599999999999999,0.75,0.5,0.16666666666666666,0.5,0.25,0.375,0.375,1.0,0.0,1.0,3.0,3.0,477.0,478.0,955.0,0.0,2.1034435033798218
reflection_memory,inferential_memory_qa,0.8225317460317461,0.8934126984126983,0.7857142857142857,0.3095238095238095,0.9285714285714286,0.4642857142857143,0.55,0.6071428571428571,1.0,0.5,1.0,3.0,3.0,533.7142857142857,462.14285714285717,995.8571428571429,0.0,2.36579578263419
reflection_memory,multi_evidence_memory_qa,0.7377377777777778,0.8156253968253968,0.64,0.32,0.96,0.48,0.5539999999999999,0.62,1.0,0.52,1.0,3.0,3.0,570.6,466.08,1036.68,0.0,2.1702191638946533
reflection_memory,temporal_memory_qa,0.9180748792270531,0.9584299516908213,0.8913043478260869,0.34057971014492755,1.0,0.5065217391304347,0.5684782608695652,0.6521739130434783,1.0,0.5869565217391305,1.0,3.0,3.0,563.1521739130435,394.5,957.6521739130435,0.0,2.116191293882287
summary_memory,factual_memory_qa,0.985,1.0,1.0,0.2,1.0,0.33333333333333337,0.0,0.0,1.0,0.0,1.0,5.0,5.0,450.5,379.5,830.0,0.0,2.0718876123428345
summary_memory,inferential_memory_qa,0.5834484126984127,0.680436507936508,0.42857142857142855,0.17857142857142858,1.0,0.30272108843537415,0.0,0.0,1.0,0.6428571428571429,1.0,5.642857142857143,5.642857142857143,532.0,428.42857142857144,960.4285714285714,0.0,3.171059114592416
summary_memory,multi_evidence_memory_qa,0.5997377777777778,0.7436253968253967,0.44,0.184,1.0,0.30952380952380953,0.0,0.0,1.0,0.64,1.0,5.68,5.68,558.04,444.88,1002.92,0.0,3.471024522781372
summary_memory,temporal_memory_qa,0.8217946859903382,0.8930917874396135,0.6956521739130435,0.1818840579710145,1.0,0.30693581780538304,0.0,0.0,1.0,0.6304347826086957,1.0,5.6521739130434785,5.6521739130434785,552.1521739130435,379.7608695652174,931.9130434782609,0.0,4.303765214007834
vector_memory,factual_memory_qa,0.985,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,0.0,1.0,3.0,3.0,444.0,379.5,823.5,0.0,0.9224377870559692
vector_memory,inferential_memory_qa,0.7310674603174603,0.799484126984127,0.6428571428571429,0.3095238095238095,0.9285714285714286,0.4642857142857143,0.55,0.6428571428571429,1.0,0.6428571428571429,1.0,3.0,3.0,514.3571428571429,443.57142857142856,957.9285714285714,0.0,1.7383907692773002
vector_memory,multi_evidence_memory_qa,0.7300933333333333,0.8218476190476189,0.6,0.3466666666666666,1.0,0.512,0.574,0.67,1.0,0.64,1.0,3.0,3.0,550.64,465.56,1016.2,0.0,1.5911272048950196
vector_memory,temporal_memory_qa,0.9249009661835749,0.9588647342995169,0.9130434782608695,0.34057971014492755,1.0,0.5065217391304347,0.5684782608695652,0.657608695652174,1.0,0.6086956521739131,1.0,3.0,3.0,541.2826086956521,390.4347826086956,931.7173913043479,0.0,1.7690613321636035
