agent_name,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy
cmi,0.8735632183908046,0.8850574712643678,0.8754789272030652,0.9902298850574713,0.9885057471264368,1.0,0.0,1.0
full_history,0.18237547892720307,1.0,0.307608100711549,0.0,0.0,1.0,0.6206896551724138,1.0
graph_memory,0.31417624521072796,0.9310344827586207,0.4689655172413793,0.55,0.632183908045977,1.0,0.5862068965517241,1.0
no_memory,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
reflection_memory,0.32567049808429116,0.9655172413793104,0.4862068965517241,0.5568965517241379,0.6293103448275862,1.0,0.5402298850574713,1.0
summary_memory,0.18237547892720307,1.0,0.307608100711549,0.0,0.0,1.0,0.6206896551724138,1.0
vector_memory,0.3371647509578544,0.9885057471264368,0.5011494252873563,0.5655172413793103,0.6551724137931034,1.0,0.6091954022988506,1.0
