agent_name,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,0.8457841634738186,0.9087557015143222,0.8160919540229885,0.8735632183908046,0.8850574712643678,0.8754789272030652,0.9902298850574713,0.9885057471264368,1.0,0.0,1.0,3.0,0.9425287356321839,1065.6206896551723,542.183908045977,1607.8045977011495,0.0,29.261849441747557
full_history,0.5146848844259253,0.692406977751322,0.21839080459770116,0.18237547892720307,1.0,0.307608100711549,0.0,0.0,1.0,0.6206896551724138,1.0,5.64367816091954,5.64367816091954,4189.896551724138,652.6206896551724,4842.517241379311,0.0,2.2613705629589913
graph_memory,0.8243710089399745,0.8830915891260719,0.7586206896551724,0.31417624521072796,0.9310344827586207,0.4689655172413793,0.55,0.632183908045977,1.0,0.5862068965517241,1.0,3.0,3.0,537.0459770114943,418.04597701149424,955.0919540229885,0.0,1.666745618842114
no_memory,0.4293044850123957,0.6073807913970185,0.034482758620689655,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,421.7241379310345,352.5057471264368,774.2298850574713,0.0,3.3865990720946213
reflection_memory,0.8449463601532567,0.9021401204159825,0.7931034482758621,0.32567049808429116,0.9655172413793104,0.4862068965517241,0.5568965517241379,0.6293103448275862,1.0,0.5402298850574713,1.0,3.0,3.0,558.5747126436781,427.8735632183908,986.448275862069,0.0,2.1715897307998833
summary_memory,0.7233825031928479,0.8183789454479109,0.5862068965517241,0.18237547892720307,1.0,0.307608100711549,0.0,0.0,1.0,0.6206896551724138,1.0,5.64367816091954,5.64367816091954,548.264367816092,406.2988505747126,954.5632183908046,0.0,3.83088983612499
vector_memory,0.8391117496807151,0.894790184272943,0.7816091954022989,0.3371647509578544,0.9885057471264368,0.5011494252873563,0.5655172413793103,0.6551724137931034,1.0,0.6091954022988506,1.0,3.0,3.0,537.4022988505748,420.32183908045977,957.7241379310345,0.0,1.6935327327114411
