agent_name,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,0.9141666666666668,0.9141666666666668,0.75,0.575,1.0,0.6716666666666666,0.525,0.4,0.85,0.45,1.0,3.0,2.15,408.6,126.1,534.7,0.0,6.678104400634766e-05
full_history,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,48.1,18.1,66.2,0.0,1.1622905731201172e-05
graph_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,78.65,18.1,96.75,0.0,1.1157989501953124e-05
no_memory,0.7775000000000001,0.7775000000000001,0.5,0.1,0.1,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,25.45,14.75,40.2,0.0,1.6999244689941406e-05
reflection_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,88.15,18.1,106.25,0.0,1.2445449829101563e-05
summary_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,64.45,18.1,82.55,0.0,1.0669231414794922e-05
vector_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,78.65,18.1,96.75,0.0,1.4460086822509765e-05
