agent_name,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy
cmi,0.575,1.0,0.6716666666666666,0.525,0.4,0.85,0.45,1.0
full_history,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85
graph_memory,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85
no_memory,0.1,0.1,0.1,1.0,1.0,1.0,0.0,1.0
reflection_memory,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85
summary_memory,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85
vector_memory,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85
