example_id,task_family,agent_name,memory_id,s_no,s_with,s_perturbed,utility,stability,selected,label
spurious_000019,spurious_semantic_trap,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,useful
spurious_000019,spurious_semantic_trap,cmi,m3,1.0,0.5,0.5,-0.5,0.0,False,harmful
spurious_000019,spurious_semantic_trap,cmi,m1,1.0,0.5,0.5,-0.5,0.0,False,irrelevant
poisoned_000005,poisoned_memory,cmi,m3,0.65,0.65,0.65,0.0,0.0,False,irrelevant
poisoned_000005,poisoned_memory,cmi,m2,0.65,0.6666666666666666,0.6666666666666666,0.016666666666666607,0.0,False,harmful
poisoned_000005,poisoned_memory,cmi,m1,0.65,1.0,1.0,0.35,0.0,True,useful
multihop_000014,multi_hop_memory,cmi,m3,0.65,0.65,0.65,0.0,0.0,False,irrelevant
multihop_000014,multi_hop_memory,cmi,m1,0.65,0.65,0.65,0.0,0.0,False,useful
multihop_000014,multi_hop_memory,cmi,m2,0.65,0.65,0.65,0.0,0.0,False,useful
conflict_000004,conflicting_memories,cmi,m2,0.75,1.0,1.0,0.25,0.0,True,useful
conflict_000004,conflicting_memories,cmi,m3,0.75,0.75,0.75,0.0,0.0,False,harmful
conflict_000004,conflicting_memories,cmi,m1,0.75,0.625,0.625,-0.125,0.0,False,outdated
context_pref_000009,context_specific_preference,cmi,m3,1.0,0.6,0.6,-0.4,0.0,False,harmful
context_pref_000009,context_specific_preference,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,useful
context_pref_000009,context_specific_preference,cmi,m1,1.0,0.43333333333333335,0.43333333333333335,-0.5666666666666667,0.0,False,context_dependent
poisoned_000013,poisoned_memory,cmi,m3,0.65,0.65,0.65,0.0,0.0,False,irrelevant
poisoned_000013,poisoned_memory,cmi,m2,0.65,0.6666666666666666,0.6666666666666666,0.016666666666666607,0.0,False,harmful
poisoned_000013,poisoned_memory,cmi,m1,0.65,1.0,1.0,0.35,0.0,True,useful
abstention_000015,abstention,cmi,m3,1.0,1.0,1.0,0.0,0.0,False,harmful
abstention_000015,abstention,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,irrelevant
abstention_000015,abstention,cmi,m1,1.0,1.0,1.0,0.0,0.0,False,irrelevant
procedural_000018,procedural_memory,cmi,m3,0.5,0.5,0.5,0.0,0.0,False,harmful
procedural_000018,procedural_memory,cmi,m2,0.5,0.5,0.5,0.0,0.0,False,irrelevant
procedural_000018,procedural_memory,cmi,m1,0.5,1.0,1.0,0.5,0.0,True,useful
multihop_000006,multi_hop_memory,cmi,m3,0.65,0.65,0.65,0.0,0.0,False,irrelevant
multihop_000006,multi_hop_memory,cmi,m1,0.65,0.65,0.65,0.0,0.0,False,useful
multihop_000006,multi_hop_memory,cmi,m2,0.65,0.65,0.65,0.0,0.0,False,useful
conflict_000012,conflicting_memories,cmi,m2,0.75,1.0,1.0,0.25,0.0,True,useful
conflict_000012,conflicting_memories,cmi,m3,0.75,0.75,0.75,0.0,0.0,False,harmful
conflict_000012,conflicting_memories,cmi,m1,0.75,0.625,0.625,-0.125,0.0,False,outdated
context_pref_000017,context_specific_preference,cmi,m3,1.0,0.6,0.6,-0.4,0.0,False,harmful
context_pref_000017,context_specific_preference,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,useful
context_pref_000017,context_specific_preference,cmi,m1,1.0,0.43333333333333335,0.43333333333333335,-0.5666666666666667,0.0,False,context_dependent
procedural_000010,procedural_memory,cmi,m3,0.5,0.5,0.5,0.0,0.0,False,harmful
procedural_000010,procedural_memory,cmi,m2,0.5,0.5,0.5,0.0,0.0,False,irrelevant
procedural_000010,procedural_memory,cmi,m1,0.5,1.0,1.0,0.5,0.0,True,useful
context_pref_000001,context_specific_preference,cmi,m3,1.0,0.6,0.6,-0.4,0.0,False,harmful
context_pref_000001,context_specific_preference,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,useful
context_pref_000001,context_specific_preference,cmi,m1,1.0,0.43333333333333335,0.43333333333333335,-0.5666666666666667,0.0,False,context_dependent
spurious_000011,spurious_semantic_trap,cmi,m2,1.0,1.0,1.0,0.0,0.0,False,useful
spurious_000011,spurious_semantic_trap,cmi,m3,1.0,0.5,0.5,-0.5,0.0,False,harmful
