agent_name,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,0.9475,0.9475,0.85,0.55,0.55,0.55,1.0,1.0,1.0,0.0,1.0,3.0,0.45,384.1,127.2,511.3,0.0,6.361007690429688e-05
full_history,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,48.1,18.1,66.2,0.0,1.2254714965820312e-05
graph_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,78.65,18.1,96.75,0.0,1.1718273162841797e-05
no_memory,0.7775000000000001,0.7775000000000001,0.5,0.1,0.1,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,25.45,14.75,40.2,0.0,1.9824504852294923e-05
reflection_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,88.15,18.1,106.25,0.0,1.3720989227294921e-05
summary_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,64.45,18.1,82.55,0.0,1.1157989501953124e-05
vector_memory,0.7404166666666667,0.7404166666666667,0.35,0.3333333333333333,1.0,0.48,0.1,0.15,0.75,0.9,0.85,3.0,3.0,78.65,18.1,96.75,0.0,1.3518333435058594e-05
