agent_name,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi_batch,0.9475,0.9475,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,76.65,32.7,109.35,0.0,1.666545867919922e-05
cmi_deterministic_scorer,0.9475,0.9475,0.85,0.55,0.55,0.55,1.0,1.0,1.0,0.0,1.0,3.0,0.45,384.1,127.2,511.3,0.0,6.21795654296875e-05
cmi_no_perturb,0.9475,0.9475,0.85,0.55,0.55,0.55,1.0,1.0,1.0,0.0,1.0,3.0,0.45,217.9,79.95,297.85,0.0,3.8623809814453125e-05
cmi_oracle_scorer,0.9475,0.9475,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,392.4,127.2,519.6,0.0,6.285905838012695e-05
cmi_stability_only,0.7775000000000001,0.7775000000000001,0.5,0.1,0.1,0.1,1.0,1.0,1.0,0.0,1.0,3.0,0.0,377.65,124.0,501.65,0.0,6.167888641357422e-05
cmi_utility_only,0.9475,0.9475,0.85,0.55,0.55,0.55,1.0,1.0,1.0,0.0,1.0,3.0,0.45,384.1,127.2,511.3,0.0,6.570816040039063e-05
