agent_name,task_family,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,abstention,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,533.0,366.0,899.0,0.0,11.008084774017334
cmi,conflicting_memories,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,3.0,2.0,673.0,304.0,977.0,0.0,9.604108572006226
cmi,context_specific_preference,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,585.0,189.0,774.0,0.0,8.03602910041809
cmi,multi_hop_memory,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,626.0,809.0,1435.0,0.0,20.47105050086975
cmi,poisoned_memory,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,576.0,366.5,942.5,0.0,11.051118731498718
cmi,procedural_memory,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,616.0,2749.0,3365.0,0.0,50.11777472496033
cmi,spurious_semantic_trap,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,3.0,1.0,605.0,1112.0,1717.0,0.0,26.168136835098267
full_history,abstention,0.896590909090909,0.8522727272727273,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,56.0,124.0,180.0,0.0,2.7484779357910156
full_history,conflicting_memories,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,1.0,1.0,3.0,3.0,73.0,18.0,91.0,0.0,7.341311931610107
full_history,context_specific_preference,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.0,1.0,1.0,1.0,0.0,3.0,3.0,67.0,24.0,91.0,0.0,1.7371971607208252
