example_id,task_family,agent_name,memory_id,s_no,s_with,s_perturbed,utility,stability,selected,label
spurious_000019,spurious_semantic_trap,cmi_utility_only,m2,1.0,1.0,1.0,0.0,0.0,False,useful
spurious_000019,spurious_semantic_trap,cmi_utility_only,m3,1.0,0.5,0.5,-0.5,0.0,False,harmful
spurious_000019,spurious_semantic_trap,cmi_utility_only,m1,1.0,0.5,0.5,-0.5,0.0,False,irrelevant
spurious_000019,spurious_semantic_trap,cmi_stability_only,m2,1.0,1.0,1.0,0.0,0.0,False,useful
spurious_000019,spurious_semantic_trap,cmi_stability_only,m3,1.0,0.5,0.5,-0.5,0.0,False,harmful
spurious_000019,spurious_semantic_trap,cmi_stability_only,m1,1.0,0.5,0.5,-0.5,0.0,False,irrelevant
spurious_000019,spurious_semantic_trap,cmi_no_perturb,m2,1.0,1.0,1.0,0.0,0.0,False,useful
spurious_000019,spurious_semantic_trap,cmi_no_perturb,m3,1.0,0.5,1.0,-0.5,-0.5,False,harmful
spurious_000019,spurious_semantic_trap,cmi_no_perturb,m1,1.0,0.5,1.0,-0.5,-0.5,False,irrelevant
spurious_000019,spurious_semantic_trap,cmi_oracle_scorer,m2,1.0,1.0,1.0,0.0,0.0,True,useful
spurious_000019,spurious_semantic_trap,cmi_oracle_scorer,m3,1.0,0.0,0.5,-1.0,-0.5,False,harmful
spurious_000019,spurious_semantic_trap,cmi_oracle_scorer,m1,1.0,0.0,0.5,-1.0,-0.5,False,irrelevant
spurious_000019,spurious_semantic_trap,cmi_deterministic_scorer,m2,1.0,1.0,1.0,0.0,0.0,False,useful
spurious_000019,spurious_semantic_trap,cmi_deterministic_scorer,m3,1.0,0.5,0.5,-0.5,0.0,False,harmful
spurious_000019,spurious_semantic_trap,cmi_deterministic_scorer,m1,1.0,0.5,0.5,-0.5,0.0,False,irrelevant
spurious_000019,spurious_semantic_trap,cmi_batch,m2,1.0,,,1.0,1.0,True,useful
spurious_000019,spurious_semantic_trap,cmi_batch,m3,1.0,,,-1.0,0.0,False,harmful
spurious_000019,spurious_semantic_trap,cmi_batch,m1,1.0,,,-1.0,0.0,False,irrelevant
poisoned_000005,poisoned_memory,cmi_utility_only,m3,0.65,0.65,0.65,0.0,0.0,False,irrelevant
poisoned_000005,poisoned_memory,cmi_utility_only,m2,0.65,0.6666666666666666,0.6666666666666666,0.016666666666666607,0.0,False,harmful
poisoned_000005,poisoned_memory,cmi_utility_only,m1,0.65,1.0,1.0,0.35,0.0,True,useful
poisoned_000005,poisoned_memory,cmi_stability_only,m3,0.65,0.65,0.65,0.0,0.0,False,irrelevant
poisoned_000005,poisoned_memory,cmi_stability_only,m2,0.65,0.6666666666666666,0.6666666666666666,0.016666666666666607,0.0,False,harmful
