metric,estimate,lower,upper,n
pearson_B_U,-0.16301957269438277,-0.41471907540407354,0.07944475441576937,60
spearman_B_U,-0.07885490786282336,-0.32511574100952434,0.1694580250513268,60
pearson_R_U,-0.04333272494965328,-0.2369455857090302,0.19461649458112948,60
top_relevance_negative_U,0.3333333333333333,0.08333333333333333,0.5833333333333334,12
