metric,estimate,lower,upper,n,n_clusters,method,label,model
pearson_B_U,0.7498264569067358,0.571409859816896,0.9035388612204441,60,20,question_cluster_bootstrap,,
spearman_B_U,0.498812761430498,0.2074453059764755,0.7935690902225776,60,20,question_cluster_bootstrap,,
pearson_R_U,0.34340762681412007,0.23369584350235661,0.4708827594034606,60,20,question_cluster_bootstrap,,
pearson_embedding_R_U,0.34340762681412007,0.2367658861567474,0.4640980155497298,60,20,question_cluster_bootstrap,,
pearson_hybrid_R_U,-0.019877040441783678,-0.1596995473694783,0.13182215834592373,60,20,question_cluster_bootstrap,,
naive_pearson_B_U,0.7498264569067358,0.5829796069807631,0.9043864624049552,60,,,,
naive_spearman_B_U,0.498812761430498,0.21736026512079065,0.7631365290928328,60,,,,
naive_pearson_R_U,0.34340762681412007,0.15590504845756747,0.5504507487754081,60,,,,
naive_pearson_embedding_R_U,0.34340762681412007,0.15092351789768502,0.5386111313162998,60,,,,
naive_pearson_hybrid_R_U,-0.019877040441783678,-0.2049913483006453,0.2103483826991692,60,,,,
pearson_R_U_within_label,0.16302220007364426,-0.16233700300203419,0.6223343426344446,14,14,question_cluster_bootstrap,harmful,
pearson_R_U_within_label,0.1482808553168382,-0.15544431247962506,0.4963754432344884,30,20,question_cluster_bootstrap,irrelevant,
pearson_R_U_within_label,0.15630065105741958,-0.5099616763625674,0.7040281458399443,16,16,question_cluster_bootstrap,useful,
top_relevance_negative_U,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,,,,
roc_auc,0.46249999999999997,0.16837719298245613,0.7074932867883995,32,20,question_cluster_bootstrap_on_oof_predictions,,R
average_precision,0.6002712479059213,0.4902018486733399,0.8210543029214571,32,20,question_cluster_bootstrap_on_oof_predictions,,R
roc_auc,0.5854166666666667,0.23697574013157893,0.8825396825396822,32,20,question_cluster_bootstrap_on_oof_predictions,,B
average_precision,0.7314930073662858,0.5540856086338863,0.9419849930528644,32,20,question_cluster_bootstrap_on_oof_predictions,,B
roc_auc,0.5958333333333334,0.24674383587427065,0.8947368421052632,32,20,question_cluster_bootstrap_on_oof_predictions,,R_plus_B
average_precision,0.6619392943884618,0.5078171136110113,0.9639395161290322,32,20,question_cluster_bootstrap_on_oof_predictions,,R_plus_B
