agent_name,task_family,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,inferential_memory_qa,0.738,0.84,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1036.0,557.0,1593.0,0.0,32.528910398483276
cmi,multi_evidence_memory_qa,0.6906666666666667,0.8438095238095239,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1094.3333333333333,689.3333333333334,1783.6666666666667,0.0,31.824617862701416
cmi,temporal_memory_qa,0.9181818181818181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1076.3636363636363,536.5454545454545,1612.909090909091,0.0,28.861919381401755
full_history,inferential_memory_qa,0.2521014492753623,0.3601449275362319,0.0,0.18333333333333335,1.0,0.30952380952380953,0.0,0.0,1.0,0.5,1.0,5.5,5.5,1463.0,733.0,2196.0,0.0,3.3638371229171753
full_history,multi_evidence_memory_qa,0.5367740240240241,0.6239628914628915,0.3333333333333333,0.17777777777777778,1.0,0.30158730158730157,0.0,0.0,1.0,0.6666666666666666,1.0,5.666666666666667,5.666666666666667,12694.333333333334,690.3333333333334,13384.666666666666,0.0,4.130927006403605
full_history,temporal_memory_qa,0.5493484848484849,0.7458225108225108,0.36363636363636365,0.17272727272727273,1.0,0.2943722943722944,0.0,0.0,1.0,0.8181818181818182,1.0,5.818181818181818,5.818181818181818,2194.6363636363635,604.7272727272727,2799.3636363636365,0.0,1.737955093383789
graph_memory,inferential_memory_qa,0.724,0.8200000000000001,0.5,0.3333333333333333,1.0,0.5,0.55,0.625,1.0,0.5,1.0,3.0,3.0,515.5,452.0,967.5,0.0,0.8744349479675293
graph_memory,multi_evidence_memory_qa,0.5973333333333333,0.7104761904761906,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.5,0.5833333333333334,1.0,0.6666666666666666,1.0,3.0,3.0,562.6666666666666,467.6666666666667,1030.3333333333333,0.0,1.9098152319590251
graph_memory,temporal_memory_qa,0.9181818181818181,1.0,1.0,0.3333333333333333,1.0,0.5,0.5818181818181818,0.7045454545454546,1.0,0.8181818181818182,1.0,3.0,3.0,537.8181818181819,414.27272727272725,952.0909090909091,0.0,2.1315627965060147
no_memory,inferential_memory_qa,0.385,0.55,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,378.5,250.5,629.0,0.0,3.3258960247039795
no_memory,multi_evidence_memory_qa,0.4333333333333333,0.6190476190476191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,449.0,430.6666666666667,879.6666666666666,0.0,4.538111925125122
no_memory,temporal_memory_qa,0.4048863636363636,0.5784090909090909,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,415.8181818181818,317.72727272727275,733.5454545454545,0.0,3.5079889730973677
reflection_memory,inferential_memory_qa,0.738,0.84,0.5,0.3333333333333333,1.0,0.5,0.55,0.625,1.0,0.5,1.0,3.0,3.0,528.0,447.5,975.5,0.0,2.7120654582977295
reflection_memory,multi_evidence_memory_qa,0.7906666666666666,0.8438095238095239,0.6666666666666666,0.3333333333333333,1.0,0.5,0.5666666666666667,0.5833333333333334,1.0,0.3333333333333333,1.0,3.0,3.0,583.3333333333334,486.3333333333333,1069.6666666666667,0.0,2.2071759700775146
reflection_memory,temporal_memory_qa,0.9181818181818181,1.0,1.0,0.3333333333333333,1.0,0.5,0.5818181818181818,0.6818181818181818,1.0,0.7272727272727273,1.0,3.0,3.0,557.8181818181819,413.45454545454544,971.2727272727273,0.0,2.2930026054382324
summary_memory,inferential_memory_qa,0.724,0.8200000000000001,0.5,0.18333333333333335,1.0,0.30952380952380953,0.0,0.0,1.0,0.5,1.0,5.5,5.5,525.5,451.0,976.5,0.0,3.530521512031555
summary_memory,multi_evidence_memory_qa,0.5305555555555556,0.7293650793650794,0.0,0.17777777777777778,1.0,0.30158730158730157,0.0,0.0,1.0,0.6666666666666666,1.0,5.666666666666667,5.666666666666667,580.3333333333334,470.0,1050.3333333333333,0.0,2.7850255966186523
summary_memory,temporal_memory_qa,0.7560909090909091,0.8736363636363635,0.6363636363636364,0.17272727272727273,1.0,0.2943722943722944,0.0,0.0,1.0,0.8181818181818182,1.0,5.818181818181818,5.818181818181818,546.6363636363636,421.3636363636364,968.0,0.0,3.4674243060025303
vector_memory,inferential_memory_qa,0.724,0.8200000000000001,0.5,0.3333333333333333,1.0,0.5,0.55,0.625,1.0,0.5,1.0,3.0,3.0,518.0,455.0,973.0,0.0,1.4399254322052002
vector_memory,multi_evidence_memory_qa,0.7906666666666666,0.8438095238095239,0.6666666666666666,0.3333333333333333,1.0,0.5,0.5666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.0,3.0,3.0,563.6666666666666,486.3333333333333,1050.0,0.0,2.361802895863851
vector_memory,temporal_memory_qa,0.9181818181818181,1.0,1.0,0.3333333333333333,1.0,0.5,0.5818181818181818,0.7045454545454546,1.0,0.8181818181818182,1.0,3.0,3.0,536.4545454545455,402.45454545454544,938.9090909090909,0.0,2.2280759161168877
