agent_name,task_score,deterministic_score,task_success_rate,useful_memory_precision,useful_memory_recall,useful_memory_f1,harmful_memory_rejection_rate,irrelevant_memory_rejection_rate,outdated_memory_rejection_rate,poisoned_memory_adoption_rate,context_dependent_memory_accuracy,num_retrieved_memories,num_selected_memories,input_tokens,output_tokens,total_tokens,cost_usd,latency_seconds
cmi,0.853,0.9507142857142857,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1074.6875,567.75,1642.4375,0.0,29.875799223780632
full_history,0.5098348939972581,0.6747641342817974,0.3125,0.175,1.0,0.2976190476190476,0.0,0.0,1.0,0.75,1.0,5.75,5.75,4071.875,636.8125,4708.6875,0.0,2.389872580766678
graph_memory,0.83375,0.9232142857142858,0.8125,0.3125,0.9375,0.46875,0.5625,0.671875,1.0,0.75,1.0,3.0,3.0,539.6875,429.0,968.6875,0.0,1.9328441470861435
no_memory,0.407734375,0.5824776785714285,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,417.375,330.5,747.875,0.0,3.678375408053398
reflection_memory,0.87175,0.9507142857142857,0.875,0.3333333333333333,1.0,0.5,0.575,0.65625,1.0,0.625,1.0,3.0,3.0,558.875,431.375,990.25,0.0,2.329292967915535
summary_memory,0.7097916666666666,0.8398809523809524,0.5,0.175,1.0,0.2976190476190476,0.0,0.0,1.0,0.75,1.0,5.75,5.75,550.3125,434.1875,984.5,0.0,3.347361698746681
vector_memory,0.87,0.9482142857142857,0.875,0.3333333333333333,1.0,0.5,0.575,0.6875,1.0,0.75,1.0,3.0,3.0,539.25,424.75,964.0,0.0,2.1546309143304825
